Annex Type,Approved Estimates wage,Approved Estimates Non Wage,Approved Estimates GoU Dev,Approved Estimates GoU Total,Releases by End June Wage,Releases by End June Non Wage,Releases by End June Gou Dev,Releases by End June GoU Total,Expenditure by End June Wage,Expenditure by End June Non Wage,Expenditure by End June Gou Dev,Expenditure by End June GoU Total,Performance by End June Wage,Performance by End June Non Wage,Performance by End June Gou Dev,Performance by End June GoU Total
Annex A1.1,Agriculture,55.40,65.71,223.44,344.55,55.37,73.30,258.19,386.86,51.95,72.30,254.42,378.66,93.8%,110.0%,113.9%
Annex A1.1,"Vote: 010 Ministry of Agriculture, Animal & Fisheries",5.89,24.70,33.27,63.86,5.89,22.89,62.55,91.32,5.56,22.83,62.49,90.88,94.4%,92.4%,187.8%
Annex A1.1,VF:0101 Crops,1.53,5.29,17.21,24.04,1.54,5.29,24.64,31.48,1.47,5.27,24.59,31.33,95.8%,99.6%,142.9%
Annex A1.1,VF:0102 Animal Resources,2.00,11.08,7.76,20.83,1.52,9.69,30.54,41.74,1.28,9.66,30.54,41.48,64.0%,87.2%,393.7%
Annex A1.1,"VF:0149 Policy, Planning and Support Services",2.36,8.33,8.31,18.99,2.84,7.91,7.37,18.11,2.81,7.90,7.37,18.08,119.2%,94.9%,88.6%
Annex A1.1,Vote: 121 Dairy Development Authority,1.57,2.47,1.00,5.04,1.57,2.11,0.83,4.51,1.57,2.07,0.79,4.42,99.7%,83.5%,79.1%
Annex A1.1,VF:0155 Dairy Development,1.57,2.47,1.00,5.04,1.57,2.11,0.83,4.51,1.57,2.07,0.79,4.42,99.7%,83.5%,79.1%
Annex A1.1,Vote: 122 Kampala Capital City Authority,0.05,0.08,1.22,1.36,0.00,0.06,8.22,8.28,0.00,0.06,8.20,8.26,0.0%,74.0%,672.2%
Annex A1.1,VF:0105 Urban Commercial and Production Services,0.05,0.08,1.22,1.36,0.00,0.06,8.22,8.28,0.00,0.06,8.20,8.26,0.0%,74.0%,672.2%
Annex A1.1,Vote: 125 National Animal Genetic Res. Centre and Data,1.40,2.05,0.00,3.45,1.70,2.05,0.00,3.75,1.61,2.03,0.00,3.64,115.1%,99.1%,N/A
