Section Name,Sector,Approved Budget,released,spent,% Budget realsed,% budget spent,% releases spent
Table V3.1: GoU Releases and Expenditure by Output*,VF:0801 Sector Monitoring and Quality Assurance,0.81, 0.59, 0.59,73.1%,73.0%,99.9%
Table V3.1: GoU Releases and Expenditure by Output*,Class: Outputs Provided,0.81, 0.59, 0.59,73.1%,73.0%,99.9%
Table V3.1: GoU Releases and Expenditure by Output*,080101 Sector performance monitored and evaluated,0.23, 0.17, 0.17,74.1%,73.8%,99.6%
Table V3.1: GoU Releases and Expenditure by Output*,080102 Standards and guidelines disseminated, 0.07, 0.04, 0.04,52.1%,52.1%, 100.0%
Table V3.1: GoU Releases and Expenditure by Output*,080103 Support supervision provided to Local Governments and referral,0.39, 0.33, 0.33,82.9%,82.9%, 100.0%
Table V3.1: GoU Releases and Expenditure by Output*,080104 Standards and guidelines developed,0.11, 0.06, 0.06,50.3%,50.3%, 100.0%
Table V3.1: GoU Releases and Expenditure by Output*,VF:0802 Health systems development, 4.46, 3.41, 3.15,76.4%,70.7%,92.5%
Table V3.1: GoU Releases and Expenditure by Output*,Class: Outputs Provided,2.30, 1.94, 1.91,84.6%,83.0%,98.1%
Table V3.1: GoU Releases and Expenditure by Output*,"080201 Monitoring, Supervision and Evaluation of Health Systems",2.30, 1.94, 1.91,84.6%,83.0%,98.1%
Table V3.1: GoU Releases and Expenditure by Output*,Class: Capital Purchases, 2.16, 1.46, 1.24,67.6%,57.5%,85.0%
Table V3.1: GoU Releases and Expenditure by Output*,080272 Government Buildings and Administrative Infrastructure,0.58, 0.38, 0.34,65.5%,59.0%,90.0%
Table V3.1: GoU Releases and Expenditure by Output*,080275 Purchase of Motor Vehicles and Other Transport Equipment,0.46, 0.36, 0.36,78.4%,77.7%,99.1%
Table V3.1: GoU Releases and Expenditure by Output*,"080276 Purchase of Office and ICT Equipment, including Software",0.12, 0.12, 0.08, 100.0%,64.0%,64.0%
